name,price,description,in_stock,reviews
Кондиционер ARG CSH-09DO (инст.комплект),17790,Холодопроизводительность: 9000 BTU (2.6 кВт)  / Рекомендуемая площадь помещения: 27 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 40 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер ARG CSH-12DO (инст.комплект),23790,Холодопроизводительность: 12000 BTU (3.5 кВт)  / Рекомендуемая площадь помещения: 36 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 42 Дб / Наличие фреона: Да,На витрине,
"Кондиционер ARG CSD-09QD (Inverter, Wi-Fi, инст.)",25490,Холодопроизводительность: 9000 BTU (2.6 кВт)  / Рекомендуемая площадь помещения: 27 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Да  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 37 Дб / Наличие фреона: Да,Есть в наличии,
"Кондиционер ARG CSD-12QD (Inverter, Wi-Fi, инст.)",29690,Холодопроизводительность: 12000 BTU (3.5 кВт)  / Рекомендуемая площадь помещения: 36 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Да  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 39 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер Acron Plus CSH-12DR (инст.комплект),18690,Холодопроизводительность: 12000 BTU (3.5 кВт)  / Рекомендуемая площадь помещения: 36 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 38 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер Haier HSU-12HCM403/R3(DB)-IN+HSU-12HCM403/R3(DB)-OUT,35590,Холодопроизводительность: 12000 BTU (3.5 кВт)  / Рекомендуемая площадь помещения: 35 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Да  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 38 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер Samsung WindFree AR60F09C1DWNER+AR60F09C1DWXER,44490,"Холодопроизводительность: 8500 BTU (2,5 кВт)  / Рекомендуемая площадь помещения: 27 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Нет  / Инверторная технология: Да  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 19 Дб / Наличие фреона: Да",Есть в наличии,
Кондиционер Haier HSU-09HRM503/R3-IN+HSU-09HRM503/R3-OUT,23790,Холодопроизводительность: 9000 BTU (2.6 кВт)  / Рекомендуемая площадь помещения: 27 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 37 Дб / Наличие фреона: Да,На витрине,
Кондиционер Samsung AR09TXHQASINUA,31990,Холодопроизводительность: 9000 BTU (2.6 кВт)  / Рекомендуемая площадь помещения: 27 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Нет  / Инверторная технология: Да  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 28 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер Samsung WindFree AR60F12C1DWNER+AR60F12C1DWXER,56790,Холодопроизводительность: 12000 BTU (3.5 кВт)  / Рекомендуемая площадь помещения: 36 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Нет  / Инверторная технология: Да  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 19 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер ARG CSH-24DO (инст.комплект),42390,Холодопроизводительность: 24000 BTU (7.0 кВт)  / Рекомендуемая площадь помещения: 72 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 44 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер Haier HSU-18HCM403/R3(DB)-IN+HSU-18HCM403/R3(DB)-OUT,49190,Холодопроизводительность: 18000 BTU (5.3 кВт)  / Рекомендуемая площадь помещения: 50 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Да  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 44 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер Haier HSU-12HRM503/R3-IN+HSU-12HRM503/R3-OUT,28890,Холодопроизводительность: 12000 BTU (3.5 кВт)  / Рекомендуемая площадь помещения: 35 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 39 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер Electrolux EACS-09HAT/N3_21Y,22090,Холодопроизводительность: 9000 BTU (2.6 кВт)  / Рекомендуемая площадь помещения: 27 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Нет  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 27 Дб / Наличие фреона: Да,На витрине,
Кондиционер ARG CSH-09BA,17790,Холодопроизводительность: 9000 BTU (2.6 кВт)  / Рекомендуемая площадь помещения: 27 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 40 Дб / Наличие фреона: Да,На витрине,
"Кондиционер ARG SoftWind CSD-09EC (Inverter, Wi-Fi, инсталляция) Graphite",35590,Холодопроизводительность: 9000 BTU (2.6 кВт)  / Рекомендуемая площадь помещения: 27 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Да  / Цвет: Графит  / Максимальный уровень шума внутреннего блока: 42 Дб / Наличие фреона: Да,Есть в наличии,
"Кондиционер ARG CSD-18QD (Inverter, Wi-Fi, инст.)",44090,Холодопроизводительность: 18000 BTU (5.3 кВт)  / Рекомендуемая площадь помещения: 54 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Да  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 42 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер ARG CSH-18BA,35590,Холодопроизводительность: 18000 BTU (5.3 кВт)  / Рекомендуемая площадь помещения: 54 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 44 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер ARG CSH-18DO (инст.комплект),35590,Холодопроизводительность: 18000 BTU (5.3 кВт)  / Рекомендуемая площадь помещения: 54 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 42 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер Samsung AR18BXHQASINUA,49990,Холодопроизводительность: 18000 BTU (5.3 кВт)  / Рекомендуемая площадь помещения: 54 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Нет  / Инверторная технология: Да  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 30 Дб / Наличие фреона: Да,На витрине,
Кондиционер Acron Plus CSH-09DO,18690,Холодопроизводительность: 9000 BTU (2.6 кВт)  / Рекомендуемая площадь помещения: 27 м² / Тип компрессора: Стандартный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Нет  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 38 Дб / Наличие фреона: Да,Есть в наличии,
Кондиционер Haier HSU-09HCM403/R3(DB)-IN + HSU-09HCM403/R3(DB)-OUT-K,32290,Холодопроизводительность: 9000 BTU (2.6 кВт)  / Рекомендуемая площадь помещения: 27 м² / Тип компрессора: Инверторный  / Монтажный комплект (инсталляция): Да  / Инверторная технология: Да  / Цвет: Белый  / Максимальный уровень шума внутреннего блока: 36 Дб / Наличие фреона: Да,Есть в наличии,
Холодильник Haier CEF535ASD,34990,Тип холодильника: С нижней морозильной камерой  / Общий объем: 346 л / Габариты (Ш х Г х В): 59.5х65х190 см / Система разморозки No Frost: Да  / Класс энергопотребления: A,Есть в наличии,
Холодильник Indesit DS4180W,32290,Тип холодильника: С нижней морозильной камерой  / Общий объем: 310 л / Габариты (Ш х Г х В): 60х64х185 см / Система разморозки No Frost: Нет  / Класс энергопотребления: A,Есть в наличии,
Холодильник Indesit DS 4160 W,30590,Тип холодильника: С нижней морозильной камерой  / Общий объем: 278 л / Габариты (Ш х Г х В): 60х64х167 см / Система разморозки No Frost: Нет  / Класс энергопотребления: A,Есть в наличии,
Холодильник Samsung RB30A30N0SA/WT,49990,Тип холодильника: С нижней морозильной камерой  / Общий объем: 322 л / Габариты (Ш х Г х В): 59.5х67.5х178 см / Система разморозки No Frost: Да  / Класс энергопотребления: A+,Есть в наличии,
Холодильник LG GC-B459MLWM,48390,Тип холодильника: С нижней морозильной камерой  / Общий объем: 374 л / Габариты (Ш х Г х В): 59.5х68.2х186 см / Система разморозки No Frost: Да  / Класс энергопотребления: A++,На витрине,
Холодильник Haier CEF535AWD,35590,Тип холодильника: С нижней морозильной камерой  / Общий объем: 346 л / Габариты (Ш х Г х В): 59.5х65х190 см / Система разморозки No Frost: Да  / Класс энергопотребления: A,На витрине,
Холодильник ARG WRF135F,16990,Тип холодильника: С верхней морозильной камерой  / Общий объем: 135 л / Габариты (Ш х Г х В): 44х47х131 см / Система разморозки No Frost: Нет  / Класс энергопотребления: A+,Есть в наличии,
Холодильник Indesit DS 4180 G,33890,Тип холодильника: С нижней морозильной камерой  / Общий объем: 332 л / Габариты (Ш х Г х В): 60х62х185 см / Система разморозки No Frost: Нет  / Класс энергопотребления: A,Есть в наличии,
Холодильник Haier C4F640CXU1,54290,Тип холодильника: С нижней морозильной камерой  / Общий объем: 400 л / Габариты (Ш х Г х В): 59.5х68.2х200 см / Система разморозки No Frost: Да  / Класс энергопотребления: A+,Есть в наличии,
Холодильник Indesit DS 4200 W,33890,Тип холодильника: С нижней морозильной камерой  / Общий объем: 361 л / Габариты (Ш х Г х В): 60х64х200 см / Система разморозки No Frost: Нет  / Класс энергопотребления: A,Есть в наличии,
Холодильник Samsung RB37A5200SA/WT,52490,Тип холодильника: С нижней морозильной камерой  / Общий объем: 387 л / Габариты (Ш х Г х В): 59.5х64.7х201 см / Система разморозки No Frost: Да  / Класс энергопотребления: A+,Есть в наличии,
Холодильник LG GC-B459MEWM,49190,Тип холодильника: С нижней морозильной камерой  / Общий объем: 374 л / Габариты (Ш х Г х В): 59.5х68.2х186 см / Система разморозки No Frost: Да  / Класс энергопотребления: A++,На витрине,
Холодильник Samsung RB33A32N0EL/WT,48990,Тип холодильника: С нижней морозильной камерой  / Общий объем: 350 л / Габариты (Ш х Г х В): 59.5х67.5х185 см / Система разморозки No Frost: Да  / Класс энергопотребления: A+,На витрине,
Холодильник LG GC-B399SMCL,49190,Тип холодильника: С нижней морозильной камерой  / Общий объем: 306 л / Габариты (Ш х Г х В): 59.5х68.2х172 см / Система разморозки No Frost: Да  / Класс энергопотребления: A++,Есть в наличии,
Холодильник LG GC-B509MLWM,55990,Тип холодильника: С нижней морозильной камерой  / Общий объем: 419 л / Габариты (Ш х Г х В): 59.5х68.2х203 см / Система разморозки No Frost: Да  / Класс энергопотребления: A++,На витрине,
